code_chorus;id;designation_site;designation_batiment_terrain;type;fonction;adresse;ville;dept;code_postal;code_insee;libelle_nouvelle_region;pays;latitude;longitude;ministere;libelle_gestionnaire;type_gestionnaire;libelle_proprietaire;type_proprietaire;surface_m2;consommation_kwh_ef;type_de_chauffage;etat_de_sante;annee_de_construction;tri_des_dechets;erp;date_de_reference
KP,:<9(Z.T'2CW7X,5/[.+/BQX8Y3:C6S%1R]V-GIP]I&/L!H(X@2\@<^BG1M'Z*NPG/;"K^@`"">#K^MT*XA:A_QL6M#";Bien contrôlé par le MASAF;Bien contrôlé par le MASAF;Bâtiment technique;Bâtiment technique;;;73;;;Auvergne - Rhône-Alpes;France;;;Agriculture;ONF - OFFICE NATIONAL DES FORETS;EPIC;ETAT DOMAINE PRIVE  PARTENAIRE GENERIQUE;Etat;20.0;;;Satisfaisant;1910;;Non;2021-12-31
IDF1/140401/208766;IB00100028549;PALAIS DE JUSTICE DE FONTAINEBLEAU;PALAIS DE JUSTICE DE FONTAINEBLEAU;Bureau;Tribunal;159  R GRANDE;Fontainebleau;77;77300;77186;Ile-de-France;France;48.409349;2.704266;Justice;Justice (services judiciaires);Etat;DEPARTEMENT  Partenaire générique;Département;1922.0;196442.54;;Satisfaisant;;Oui;Oui;2021-12-31
DOM4/102191/428565;IB00100258590;SITE PENITENTIAIRE NOUMEA;CENTRE DE PEINES AMENAGES;Bâtiment sanitaire ou social;Bât. social avec hébergement;2  R DU CAPITAINE BOIS;Nouméa;988;98800;98818;Collectivités et territoires d'Outre-Mer;France;-22.266667;166.45;Justice;Services Pénitentiaires;Etat;ETAT DOMAINE PUBLIC  PARTENAIRE GENERIQUE;Etat;0.0;;;;;;Oui;2021-12-31
KAZ*>/4_5C+OTE+K529-E%/H&8Z/YAD#D`O5=>^G2GM%./GB?6V%*]!317%I8@ON7E!!;MOUMP]@Z\=X&L5PV+1*^M#;Bien contrôlé par le ministère de la Justice;Bien contrôlé par le ministère de la Justice;Logement;Logement;;;78;;;Ile-de-France;France;;;Justice;Protection Judiciaire de la Jeunesse;Etat;PERSONNE PHYSIQUE;Personne Physique;139.81;;;;;;Non;2021-12-31
"O,:U""ER6P4B`^+8Z60T-3%/K704D#AH+CLLRNQEQ-V[%'/DJW6RH@[N4I,P\P0]P9N!/";N51P<D<[-IZ&>=DN$UB>(-;Bien contrôlé par le ministère de l'Education Nationale et de la Jeunesse;Bien contrôlé par le ministère de l'Education Nationale et de la Jeunesse;Logement;Logement;;;976;;;Départements d'Outre-Mer;France;;;Education nationale - Enseignement supérieur;Enseignement du second degré.;Etat;ETAT DOMAINE PRIVE  PARTENAIRE GENERIQUE;Etat;342.0;;;Peu satisfaisant;1996;;Non;2021-12-31
PACA/175861/351071;IB00100187936;BUREAU DE L INSPECTION ACADEMIQUE DU HAUT VAR EST;INSPECTION DE L'EDUCATION NATIONALE DE SAINT PAUL EN FORET;Bureau;Inspection de l'Education Nationale;17  R DE LA VERRERIE;Saint-Paul-en-Forêt;83;83440;83117;Provence-Alpes-Côte-d'Azur;France;43.567818;6.690894;Education nationale - Enseignement supérieur;Education nationale Services déconcentrés;Etat;COMMUNE  Partenaire générique;Commune;85.0;;;Satisfaisant;;;Oui;2021-12-31
AUVE/179164/358556;IB00100195248;SERVICE REGIONAL DE L ARCHEOLOGIE;espaces verts;Espace aménagé;Terrain de jeux ou de loisirs;73  R DE LA GARENNE;Les Martres-de-Veyre;63;63730;63214;Auvergne - Rhône-Alpes;France;45.691819;3.197738;Culture;Culture (services déconcentrés);Etat;DEPARTEMENT  Partenaire générique;Département;967.0;;;;1961;;Non;2021-12-31
BRET/132047/185274;IG00100006116;SITE MEGALITHIQUE DE PLOUHARNEL;DOLMEN DE GOHQUER;Espace naturel;Terrain en friche;;;56;;;Bretagne;France;;;Culture;Culture-Patrimoines-MonumentsHistoriques;Etat;ETAT DOMAINE PUBLIC  PARTENAIRE GENERIQUE;Etat;500.0;;;;;;Non;2021-12-31
ETR1/164527/374498;IB00100210188;Bien contrôlé par le ministère de la Culture;Bien contrôlé par le ministère de la Culture;Logement;Maison individuelle;1  VIALE TRINITA DEI MONTI;ROME;N/A;99100;IT014;Étranger;Italie;49.542736;0.553877;Culture;AFR - Académie de France à Rome;EPA;ETAT DOMAINE PRIVE  PARTENAIRE GENERIQUE;Etat;60.0;;;Très satisfaisant;;;Non;2021-12-31
"M$.U/=Y?QSX^,L#7P.SG\""/F%<(5ZD'&C*(W?&-<&9XE*/C<,.XIV/+S;!#G[1E,XR)*";"B""`N5/W2?WZ5^J$7S0\HW+";Bien contrôlé par le ministère de l'Europe et des Affaires Etrangères;Bien contrôlé par le ministère de l'Europe et des Affaires Etrangères;Bâtiment d'enseignement ou de sport;Bâtiment scolaire/enseignement;0  Route DE THADEUA;VIENTIANE;N/A;99000;;Étranger;Laos;;;Affaires étrangères;AEFE-Agence pour l'enseignement fançais à l'étranger;EPA;ETAT DOMAINE PRIVE  PARTENAIRE GENERIQUE;Etat;460.0;;;;;;Oui;2021-12-31
