code_chorus;id;designation_site;designation_batiment_terrain;type;fonction;adresse;ville;dept;code_postal;code_insee;libelle_nouvelle_region;pays;latitude;longitude;ministere;libelle_gestionnaire;type_gestionnaire;libelle_proprietaire;type_proprietaire;surface_m2;consommation_kwh_ef;type_de_chauffage;etat_de_sante;annee_de_construction;tri_des_dechets;erp;date_de_reference
"OR<C@O-.K<<&#@XJ?)!V40/DI5N!;T(%S2L8BWTA>0VY&/J[M29);JT[=X:R%%);JB_$";"CAF""/_BX:&`PW0$1L%0TJ!";Bien contrôlé par le MASAF;Bien contrôlé par le MASAF;Bâtiment technique;Bâtiment technique;;;2;;;Hauts de France;France;;;Agriculture;ONF - OFFICE NATIONAL DES FORETS;EPIC;ETAT DOMAINE PRIVE  PARTENAIRE GENERIQUE;Etat;0.0;;;Satisfaisant;;;Non;2021-12-31
CHAR/101408/371096;IG00100082552;SITE PENITENTIAIRE VILLENAUXE LA GRANDE;TER ASSIETTE ENCEINTE;Espace naturel;Terrain d'assiette étb. Pénitent.;LD LE HAUT DE LA MADELEINE;Villenauxe-la-Grande;10;10370;10420;Grand-Est;France;48.601612;3.576837;Justice;Services Pénitentiaires;Etat;ETAT DOMAINE PUBLIC  PARTENAIRE GENERIQUE;Etat;0.0;;;;;;Non;2021-12-31
"I`(L;2-U7(;P.HV$XQW29&/JV=V\T6^ZCDBX9K.U&>R%-/I*<@3`]ML;S@`YS9(U[BW!";C%]35QDP*ID0.49T]N2>Z0;Bien contrôlé par le ministère de la Justice;Bien contrôlé par le ministère de la Justice;Logement;Logement;;;29;;;Bretagne;France;;;Justice;Services Pénitentiaires;Etat;PERSONNE PHYSIQUE;Personne Physique;79.0;;;;1905;;Non;2021-12-31
DOM2/133486/389089;IB00100224137;LYCEE  DE  MAMOUDZOU;LYCEE MDZ BATIMENT 29;Bâtiment d'enseignement ou de sport;Bâtiment scolaire/enseignement;R SARAHANGUE;Mamoudzou;976;97600;97611;Départements d'Outre-Mer;France;-12.781246;45.225607;Education nationale - Enseignement supérieur;Enseignement du second degré.;Etat;ETAT DOMAINE PUBLIC  PARTENAIRE GENERIQUE;Etat;0.0;;;Peu satisfaisant;1976;;Oui;2021-12-31
"O,:U""ER6P4B`^+8Z60T-3%/K#TDC<GKYD7P2?<\L!G\U,/PO%U[>'5]T:V)990L'Q\Y0";O.O[TDV!JB%1I>DC+QXG?$;Bien contrôlé par le ministère de l'Education Nationale et de la Jeunesse;Bien contrôlé par le ministère de l'Education Nationale et de la Jeunesse;Logement;Logement;;;976;;;Départements d'Outre-Mer;France;;;Education nationale - Enseignement supérieur;Enseignement du second degré.;Etat;ETAT DOMAINE PRIVE  PARTENAIRE GENERIQUE;Etat;132.0;;;Satisfaisant;2006;;Non;2021-12-31
BRET/122599/441582;IB00100274369;SITE MEGALITHIQUE DE CARNAC;SITE MEGALITHIQUE DE CARNAC;Monument et mémorial;Mégalithe;LD KERMARIO;Carnac;56;56340;56034;Bretagne;France;47.573373;-3.066791;Culture;CMN - Centre des monuments nationaux;EPA;ETAT DOMAINE PUBLIC  PARTENAIRE GENERIQUE;Etat;0.0;68893.15;;;;;Non;2021-12-31
IDF1/143529/446577;IB00100279753;PARC ET GRANDE HALLE DE LA VILLETTE;PAVILLON DE LA BOURSE - THEATRE PARIS VILLETTE;Bâtiment culturel;Salle de spectacles;211  AV JEAN JAURES;Paris 19e Arrondissement;75;75019;75119;Ile-de-France;France;48.888952;2.392454;Culture;EPPGHV - Et pub du parc et de la grande Halle de la Villette.;EPIC;ETAT DOMAINE PUBLIC  PARTENAIRE GENERIQUE;Etat;1523.0;;;;1868;;Oui;2021-12-31
IDF1/168860/436296;IB00100268528;MUSEE RODIN (Domaine public);MUSEE RODIN - GALERIE DES MARBRES;Bâtiment culturel;Musée;77  R DE VARENNE;Paris 7e Arrondissement;75;75007;75107;Ile-de-France;France;48.855868;2.31598;Culture;Musée Rodin;EPA;ETAT DOMAINE PUBLIC  PARTENAIRE GENERIQUE;Etat;149.0;;;;1971;;Oui;2021-12-31
RALP/101628/153991;IB00100044347;CATHEDRALE SAINT PIERRE - MOUTIERS;CATHEDRALE SAINT PIERRE MOUTIERS;Édifice du culte;Édifice du culte;0  PL SAINT PIERRE;Moûtiers;73;73600;73181;Auvergne - Rhône-Alpes;France;45.483377;6.532807;Culture;Culture-Patrimoines-MonumentsHistoriques;Etat;ETAT DOMAINE PUBLIC  PARTENAIRE GENERIQUE;Etat;1359.0;;;;;;Oui;2021-12-31
"M$.U/=Y?QSX^,L#7P.SG\""/EMJ77#T+!$I;KFRX;K?MM./MA<$<N9]8487)!P)T""NWQ)";A'7Y<$CNO^1SX^^-9P+?R.;Bien contrôlé par le ministère de l'Europe et des Affaires Etrangères;Bien contrôlé par le ministère de l'Europe et des Affaires Etrangères;Bureau;Immeuble de bureaux;15  AVENUE MERS SULTAN;CASABLANCA;N/A;99000;MA003;Étranger;Maroc;;;Affaires étrangères;Affaires étrangères (services extérieurs ).;Etat;Organismes publics étrangers;Autre Proprié.;1208.0;;;;1920;;Non;2021-12-31
"H$U?:\8ZPL5TM(]P^=W@1!/O1OU""9_[UCTHX=\#PZ$[%)/B*)VPS\9O["""")B?Q[Z\L/!";MQW!UMC[/964\)V58G_32!;Bien contrôlé par le MASAF;Bien contrôlé par le MASAF;Logement;Logement;;;41;;;Centre - Val-de-Loire;France;;;Agriculture;ONF - OFFICE NATIONAL DES FORETS;EPIC;ETAT DOMAINE PRIVE  PARTENAIRE GENERIQUE;Etat;119.0;;;Satisfaisant;1847;;Non;2021-12-31
"I5+@C$WMLM]/;9V+""ESLU!/OCG4]C%8P#GA86GIF<EV-""/O^)<G-W#1;!YFZ-#&LKC7-";"M97HTN>80#W'/NNUM<>[B""";Bien contrôlé par le MASAF;Bien contrôlé par le MASAF;Bâtiment technique;Bâtiment technique;;;31;;;Occitanie;France;;;Agriculture;ENVT - Ecole nationale vétérinaire de Toulouse;EPA;ETAT DOMAINE PUBLIC  PARTENAIRE GENERIQUE;Etat;15.0;;;;;;Non;2021-12-31
P[(D'+'+,UJ=YM^ZS!,<V-/PP9J<1=VY3O%`@<)W.A]A./JXW#(#Q%*[9?]?S:5%'S_%;KS^!+1)W@V_ZR&H$_8TJ%-;SITE MONTGUILLAUME;MONTGUILLAUME;Espace naturel;Espace naturel;;;5;;;Provence-Alpes-Côte-d'Azur;France;-;-;Agriculture;ONF - OFFICE NATIONAL DES FORETS;EPIC;ETAT DOMAINE PRIVE  PARTENAIRE GENERIQUE;Etat;13684036.0;;;;;;Non;2021-12-31
BRET/143950/371056;IG00100082454;SITE PENITENTIAIRE BREST;TER ASSIETTE ENCEINTE;Espace naturel;Terrain d'assiette étb. Pénitent.;171  R GENERAL PAULET;Brest;29;29200;29019;Bretagne;France;48.421224;-4.477061;Justice;Services Pénitentiaires;Etat;ETAT DOMAINE PUBLIC  PARTENAIRE GENERIQUE;Etat;0.0;;;;;;Non;2021-12-31
DOM2/163932/526076;IB00100344428;DIRECTION INTERREGIONALE DE L’OCEAN INDIEN;MAD JUSTICE;Bureau;Immeuble de bureaux;50  BD DU CHAUDRON;Saint-Denis;974;97490;97411;Départements d'Outre-Mer;France;-20.896068;55.495236;Justice;Justice (services centraux);Etat;ETAT DOMAINE PUBLIC  PARTENAIRE GENERIQUE;Etat;0.0;;;;;;Non;2021-12-31
"H$U?:\8ZPL5TM(]P^=W@1!/E>6Z_)Y;JTU6DQZM?`ZCI*/ARM#/.""=&4,7!!]T:'+]Q$";BMA.'^)<7WH]8<[O5B=)_&;Bien contrôlé par le ministère de la Justice;Bien contrôlé par le ministère de la Justice;Logement;Logement;;;36;;;Centre - Val-de-Loire;France;;;Justice;Services Pénitentiaires;Etat;PERSONNE PHYSIQUE;Personne Physique;0.0;;;;;;Non;2021-12-31
RALP/144354/506030;IB00100327145;SITE PENITENTIAIRE LA TALAUDIERE;GARAGES;Bâtiment technique;Garage;SAUVAGERE;La Talaudière;42;42350;42305;Auvergne - Rhône-Alpes;France;45.471424;4.420264;Justice;Services Pénitentiaires;Etat;ETAT DOMAINE PUBLIC  PARTENAIRE GENERIQUE;Etat;0.0;;;;1969;;Non;2021-12-31
"KAZ*>/4_5C+OTE+K529-E%/JAK05&)$DC-E-7>;DPXE5(/C7ME?\M'H$RFJ752R@`D]!";"B4_**Q;D[W$UZ][B7_;;D0";Bien contrôlé par le ministère de l'Education Nationale et de la Jeunesse;Bien contrôlé par le ministère de l'Education Nationale et de la Jeunesse;Logement;Logement;;;75;;;Ile-de-France;France;;;Education nationale - Enseignement supérieur;Education nationale Services déconcentrés;Etat;PERSONNE PHYSIQUE;Personne Physique;52.0;;;;;;Non;2021-12-31
IDF1/164386/437421;IB00100269658;Musée RODIN;Musée Rodin;Bâtiment culturel;Musée;19  AV AUGUSTE RODIN;Meudon;92;92190;92048;Ile-de-France;France;48.813854;2.25249;Culture;Musée Rodin;EPA;ETAT DOMAINE PUBLIC  PARTENAIRE GENERIQUE;Etat;2036.0;;;Pas satisfaisant;;;Oui;2021-12-31
IDF1/165853/436851;IB00100269045;CENTRE NATIONAL DE LA CINEMATOGRAPHIE BATTERIE BOIS D'ARCY;CNC BATTERIE BOIS D'ARCY BAT D;Bâtiment technique;Bâtiment de stockage;;;78;;;Ile-de-France;France;;;Culture;CNC - Centre national du cinéma et de l'image animée;EPA;ETAT DOMAINE PRIVE  PARTENAIRE GENERIQUE;Etat;869.0;;;;;;Non;2021-12-31
IDF1/166800/388393;IB00100223297;BNF et CENTRE TECHNIQUE DU LIVRE;Bâtiment 9 STOCKAGE DE PRODUITS DANGEREUX;Bâtiment technique;Bâtiment de stockage;;;77;;;Ile-de-France;France;;;Culture;BnF - Bibliothèque nationale de France;EPA;ETAT DOMAINE PUBLIC  PARTENAIRE GENERIQUE;Etat;32.0;;;;1999;;Non;2021-12-31
"M$.U/=Y?QSX^,L#7P.SG\""/A$B1*T(POD:HYY#/_VVSE&/I?!K^!)3BCE_[/=99N/J5.";"D`'""@B3C::5>%<SICF65*$";Bien contrôlé par le ministère de l'Europe et des Affaires Etrangères;Bien contrôlé par le ministère de l'Europe et des Affaires Etrangères;Bureau;Ambassade;8  Avenue GRIGOR LOUSSAVORITCH;EREVAN;N/A;99000;AM001;Étranger;Armenie;;;Affaires étrangères;Affaires étrangères (services extérieurs ).;Etat;ETAT DOMAINE PRIVE  PARTENAIRE GENERIQUE;Etat;2490.0;;;;1959;;Oui;2021-12-31
"M$.U/=Y?QSX^,L#7P.SG\""/A1`Q8?E))3T[0X=C]!ZAQ&/M#@(Z-5][3FD89!3^6Y_1+";"NZQ#!6%HUC;R?SBVEJ@Y/(";Bien contrôlé par le ministère de l'Europe et des Affaires Etrangères;Bien contrôlé par le ministère de l'Europe et des Affaires Etrangères;Bureau;Ambassade;13  AVENUE MAMA FOUSSENI;LOME;N/A;99000;;Étranger;Togo;;;Affaires étrangères;Affaires étrangères (services extérieurs ).;Etat;Organismes publics étrangers;Autre Proprié.;304.0;;;;1947;;Oui;2021-12-31
"M$.U/=Y?QSX^,L#7P.SG\""/E'`]@).3\T-R0XNS>K,^I(/PR$:/I8FOLXK9;=A(MRU;*";"M'=V?^1!G2)D."":US]+JJ%";Bien contrôlé par le ministère de l'Europe et des Affaires Etrangères;Bien contrôlé par le ministère de l'Europe et des Affaires Etrangères;Logement;Maison individuelle;;;;;;Étranger;Tunisie;;;Affaires étrangères;Affaires étrangères (services extérieurs ).;Etat;ETAT DOMAINE PRIVE  PARTENAIRE GENERIQUE;Etat;68.0;;;;;;Non;2021-12-31
"M$.U/=Y?QSX^,L#7P.SG\""/ES)>]DL"")D6VE5T=HCY\E+/MA0-Z!RHDCF%8,/\0Y@HE'";DO2T]-X7X7%HWY!`YY8!=+;Bien contrôlé par le ministère de l'Europe et des Affaires Etrangères;Bien contrôlé par le ministère de l'Europe et des Affaires Etrangères;Logement;Immeuble d'habitation;;;;;;Étranger;Togo;;;Affaires étrangères;Affaires étrangères (services sociaux).;Etat;Organismes publics étrangers;Autre Proprié.;235.0;;;;1925;;Non;2021-12-31
IDF1/165046/506876;IB00100328402;AFPA-SI9510-BERNES SUR OISE-Les Sablons;SI9510-22 Formation Atelier;Bâtiment d'enseignement ou de sport;Bât. d'instruction/formation;LES SABLONS;Bernes-sur-Oise;95;95340;95058;Ile-de-France;France;49.161553;2.286964;Affaires sociales - Travail;AFPA - Agence Nale pour la Formation professionnelle des adultes;EPIC;ETAT DOMAINE PRIVE  PARTENAIRE GENERIQUE;Etat;80.0;12449.7;;Satisfaisant;;Oui;Oui;2021-12-31
LORR/165396/456068;IB00100290594;AFPA-SI5712-YUTZ-Illange;SI5712-02 Formation Atelier;Bâtiment d'enseignement ou de sport;Bât. d'instruction/formation;RTE D'ILLANGE;Yutz;57;57970;57757;Grand-Est;France;49.32479;6.179907;Affaires sociales - Travail;AFPA - Agence Nale pour la Formation professionnelle des adultes;EPIC;ETAT DOMAINE PRIVE  PARTENAIRE GENERIQUE;Etat;590.0;;;;;Oui;Oui;2021-12-31
AUVE/100781/430866;IB00100261628;Bien contrôlé par le ministère de la Culture;Bien contrôlé par le ministère de la Culture;Bâtiment culturel;Musée;9  R LOUIS MANTIN;Moulins;3;03000;03190;Auvergne - Rhône-Alpes;France;46.566545;3.332004;Culture;Culture-Patrimoines-MonumentsHistoriques;Etat;ETAT DOMAINE PUBLIC  PARTENAIRE GENERIQUE;Etat;0.0;;;;;;Oui;2021-12-31
BNOR/105087/328877;IB00100170633;ABBAYE ET REMPARTS DU MONT SAINT MICHEL;LOGIS SAINT-SYMPHORIEN;Bâtiment technique;Bâtiment technique;;;50;;;Normandie;France;;;Culture;CMN - Centre des monuments nationaux;EPA;ETAT DOMAINE PUBLIC  PARTENAIRE GENERIQUE;Etat;136.0;;;;0001;;Non;2021-12-31
BOUR/131059/441548;IB00100274312;CHATEAU DE BUSSY RABUTIN;ATELIER DU JARDINIER;Bâtiment technique;Bâtiment technique;;;21;;;Bourgogne - Franche-Comté;France;;;Culture;CMN - Centre des monuments nationaux;EPA;ETAT DOMAINE PUBLIC  PARTENAIRE GENERIQUE;Etat;0.0;;;Pas satisfaisant;;;Non;2021-12-31
"M$.U/=Y?QSX^,L#7P.SG\""/BB1?A14PX#-KJ5.B.Q.BM!/CR8#,J&@03F.""D$?M/=O1+";"F]A!2F#I.5JDLV]""UIQI\(";Bien contrôlé par le ministère de l'Europe et des Affaires Etrangères;Bien contrôlé par le ministère de l'Europe et des Affaires Etrangères;Bâtiment d'enseignement ou de sport;Bâtiment scolaire/enseignement;0  PLACE JEAN COURTIN - AGDAL - BP768;RABAT;N/A;99000;MA013;Étranger;Maroc;;;Affaires étrangères;AEFE-Agence pour l'enseignement fançais à l'étranger;EPA;ETAT DOMAINE PUBLIC  PARTENAIRE GENERIQUE;Etat;713.0;;;;1960;;Oui;2021-12-31
"M$.U/=Y?QSX^,L#7P.SG\""/C6$?:7BB;D'1*[(8)5N`U0/B)Z&LOHJ94U/""(K<J--G!0";"KVAS9,ZE-$I,,A])L';G@#";Bien contrôlé par le ministère de l'Europe et des Affaires Etrangères;Bien contrôlé par le ministère de l'Europe et des Affaires Etrangères;Bureau;Ambassade;20  . TOOM KUNINGA;TALLINN;N/A;99000;;Étranger;Estonie;;;Affaires étrangères;Affaires étrangères (services extérieurs ).;Etat;Organismes publics étrangers;Autre Proprié.;1300.0;;;;1914;;Oui;2021-12-31
"M$.U/=Y?QSX^,L#7P.SG\""/H9K'X$$&5$^Y""R[)5*\T]&/PR9-V7Y7G[P6%""O@>\J[O*";IFV[3I31=PK#MO!,%M$6O.;Bien contrôlé par le ministère de l'Europe et des Affaires Etrangères;Bien contrôlé par le ministère de l'Europe et des Affaires Etrangères;Bâtiment culturel;Équipement culturel;11  Rue ZMAJ JOVINA 31 RUE KNEZ MIHAJLOVA;BELGRADE;N/A;99000;RS003;Étranger;;;;Affaires étrangères;Affaires étrangères (Ets culturels et de recherche);Etat;ETAT DOMAINE PRIVE  PARTENAIRE GENERIQUE;Etat;2956.0;;;;1948;;Oui;2021-12-31
"M$.U/=Y?QSX^,L#7P.SG\""/N)M<L'Y0>4NWB3>[*C;_1-/D=Y4?1.^A#T*8)QBI*ZS=,";"PU""PC6_D!3?*N75ELG`:W-";Bien contrôlé par le ministère de l'Europe et des Affaires Etrangères;Bien contrôlé par le ministère de l'Europe et des Affaires Etrangères;Bureau;Immeuble de bureaux;MAIN TERMINAL BUILDING OFFICE 3/L40;SPATA;N/A;99999;GR012;Étranger;Grèce;;;Affaires étrangères;Affaires étrangères (services extérieurs ).;Etat;PERSONNE MORALE DE DROIT PRIVE Société, association, groupement éco... Partenaire générique;Pers.Mor.Privé;0.0;;;;;;Non;2021-12-31
BRET/201999/456639;IB00100291275;UEMO DE BREST;UEMO DE BREST;Bureau;Immeuble de bureaux;R DE KERVEZENNEC;Brest;29;29200;29019;Bretagne;France;48.418253;-4.465553;Justice;Protection Judiciaire de la Jeunesse;Etat;PERSONNE MORALE DE DROIT PRIVE Société, association, groupement éco... Partenaire générique;Pers.Mor.Privé;508.0;17851.85;;Peu satisfaisant;2017;Non;Non;2021-12-31
"K+Q""+.MRN=T2(.JQJG]+]*/NTG,JDW0PT9./HTJ-9^LI)/NKT,?R*&2T&DR.I:C#5GY)";JT5NY,Y7.YKP09C@W>0]U0;Bien contrôlé par le ministère de la Justice;Bien contrôlé par le ministère de la Justice;Logement;Logement;;;21;;;Bourgogne - Franche-Comté;France;;;Justice;Services Pénitentiaires;Etat;ETAT DOMAINE PRIVE  PARTENAIRE GENERIQUE;Etat;95.0;;;;1975;;Non;2021-12-31
"P[(D'+'+,UJ=YM^ZS!,<V-/J:S*1'E56SZ24N?Y::BNY(/OH^*N-""TX$JI86P9H=2\]/";I.&#]\7@\?$NKX0X#(:HS!;Bien contrôlé par le ministère de la Justice;Bien contrôlé par le ministère de la Justice;Logement;Logement;;;83;;;Provence-Alpes-Côte-d'Azur;France;;;Justice;Services Pénitentiaires;Etat;PERSONNE PHYSIQUE;Personne Physique;67.0;;;;2000;;Non;2021-12-31
"A[1[,-&58<DY@+#?0U;5P#/N%6^7<""VZC`YLN.3TBC\%./A='UI!50>0&SUK87]V5LX/";AE&$)&7WB_HP\'U<[>A)R+;SITE GRAOULLY;GRAOULLY-Rezonville-Vionville;Espace naturel;Espace naturel;;Rezonville-Vionville;57;57130;57578;Grand-Est;France;49.097492;5.988734;Agriculture;ONF - OFFICE NATIONAL DES FORETS;EPIC;ETAT DOMAINE PRIVE  PARTENAIRE GENERIQUE;Etat;198794.0;;;;;;Non;2021-12-31
F[Y9T\K[![9%57TY@P<GL./PDEC-H>MTD!>8P=.U=TT5'/B(-W8\:KE/:[%GP%R:7_X&;D8@5CVN)?@IUU[AT9UH4\-;SITE BOIS-LAPIE;FORET BOIS-LAPIE-Pontfaverger-Moronvilliers;Espace naturel;Espace naturel;;Pontfaverger-Moronvilliers;51;51490;51440;Grand-Est;France;49.298128;4.317766;Agriculture;ONF - OFFICE NATIONAL DES FORETS;EPIC;ETAT DOMAINE PRIVE  PARTENAIRE GENERIQUE;Etat;353968.0;;;;;;Non;2021-12-31
"I`(L;2-U7(;P.HV$XQW29&/C?G`&X@""$C[C#AF2F+/IU//G`8R1-HCBK\Y)R[K$2H\;)";N_U,+-)I[+(0FN(W<)4YE.;Bien contrôlé par le MASAF;Bien contrôlé par le MASAF;Bâtiment technique;Bâtiment technique;;;35;;;Bretagne;France;;;Agriculture;INESAAE – l’institut Agro;EPSCP;ETAT DOMAINE PUBLIC  PARTENAIRE GENERIQUE;Etat;0.0;;;;0001;;Non;2021-12-31
"KAZ*>/4_5C+OTE+K529-E%/A_Q;NM+^ED4)EYVJ@6HG%!/I0'_%F@*5$BAPBEK]1EH]%";K\E`N`30+9<V')$FDTO$H(;Bien contrôlé par le MASAF;Bien contrôlé par le MASAF;Logement;Logement;;;78;;;Ile-de-France;France;;;Agriculture;Agro Paris Tech - Inst des sciences du vivant et de l'environnement;EPSCP;ETAT DOMAINE PRIVE  PARTENAIRE GENERIQUE;Etat;100.0;;;Pas satisfaisant;;;Non;2021-12-31
"KAZ*>/4_5C+OTE+K529-E%/BM7,/VH??#AR67MC`#/MM,/C7<$1""GMQ4O>/78=O#/TA.";"BV4G""CVC,U@'JW2H,T>TE*";Bien contrôlé par le MASAF;Bien contrôlé par le MASAF;Bâtiment technique;Bâtiment technique;;;78;;;Ile-de-France;France;;;Agriculture;ONF - OFFICE NATIONAL DES FORETS;EPIC;ETAT DOMAINE PRIVE  PARTENAIRE GENERIQUE;Etat;0.0;;;Satisfaisant;;;Non;2021-12-31
"NL&!4]$M?*K-F7IH>).]L$/I#TDA&$(0S:YI`IR4%:NY0/FU$*-]<A!#;AN7$%A(;A--";I\F]B(IO/+`)'R,7<V`!V/;Bien contrôlé par le MASAF;Bien contrôlé par le MASAF;Bâtiment technique;Bâtiment technique;;;76;;;Normandie;France;;;Agriculture;ONF - OFFICE NATIONAL DES FORETS;EPIC;ETAT DOMAINE PRIVE  PARTENAIRE GENERIQUE;Etat;127.0;;;Satisfaisant;1864;;Non;2021-12-31
"NL&!4]$M?*K-F7IH>).]L$/K#$<G+;)X#W+X""\AEL\F-./FJW)6S%PPD[LB=B/""%&YU/";"D\\:B:C\A#V`AH>N0:G^X""";LYCEE AGRICOLE DE CHAMBRAY;LYCEE AGRICOLE DE CHAMBRAY;Bâtiment d'enseignement ou de sport;Bâtiment d'enseignement ou de sport;LD L EPERON;Mesnils-sur-Iton;27;27240;27198;Normandie;France;48.852788;0.974838;Agriculture;Ets du second degré - lois décentralisat MAAF;EPL;ETAT DOMAINE PUBLIC  PARTENAIRE GENERIQUE;Etat;8132.0;;;;;;Oui;2021-12-31
"O;]D')`T)&>RY6]""<_D(T!/H""5$LN$\^#:.P@*NHY)U]#/H%Q:428]OCN-I;@URD8]E!";C'8[_<)*F,40[#/\U`F\W,;Bien contrôlé par le MASAF;Bien contrôlé par le MASAF;Bâtiment technique;Bâtiment technique;;;68;;;Grand-Est;France;;;Agriculture;ONF - OFFICE NATIONAL DES FORETS;EPIC;ETAT DOMAINE PRIVE  PARTENAIRE GENERIQUE;Etat;0.0;;;Satisfaisant;;Non;Non;2021-12-31
"O;]D')`T)&>RY6]""<_D(T!/L:]$N+G""+T'XU!$G7LIY)#/EOFAK_A4%,Y%17.2HK8V#!";"P0C[[`PUJ>@9R8(;?RK`:+";Bien contrôlé par le MASAF;Bien contrôlé par le MASAF;Bâtiment technique;Bâtiment technique;;;67;;;Grand-Est;France;;;Agriculture;ONF - OFFICE NATIONAL DES FORETS;EPIC;ETAT DOMAINE PRIVE  PARTENAIRE GENERIQUE;Etat;0.0;;;Pas satisfaisant;;Non;Non;2021-12-31
ALSA/108736/145383;IB00100039506;PJJ EPE STRASBOURG;UEHC STRASBOURG;Bâtiment sanitaire ou social;Bât. social avec hébergement;10  R DE L'AUBERGE DE JEUNESSE;Strasbourg;67;67000;67482;Grand-Est;France;48.574492;7.717989;Justice;Protection Judiciaire de la Jeunesse;Etat;ETAT DOMAINE PRIVE  PARTENAIRE GENERIQUE;Etat;671.0;49444.2;;Très satisfaisant;1920;Oui;Oui;2021-12-31
DOM1/140487/444394;IB00100277292;TI DE SAINT-MARTIN;CHAMBRE DETACHEE DU TGI DE BASSE TERRE/EX BIBLIOTHEQUE;Bureau;Tribunal;23  R DE LA LIBERTE MARIGOT;Saint-Martin;978;97150;97801;Collectivités et territoires d'Outre-Mer;France;18.067152;-63.085557;Justice;Justice (services judiciaires);Etat;ETAT DOMAINE PRIVE  PARTENAIRE GENERIQUE;Etat;750.0;32154.0;;Satisfaisant;;Oui;Oui;2021-12-31
PACA/109726/173974;IB00100039756;UEMO  AIX EN PROVENCE;UEAJ AIX EN PCE;Bâtiment d'enseignement ou de sport;Bâtiment scolaire/enseignement;2145  CHEMIN DE RAPINE;Aix-en-Provence;13;13090;13001;Provence-Alpes-Côte-d'Azur;France;43.551317;5.424988;Justice;Protection Judiciaire de la Jeunesse;Etat;ETAT DOMAINE PUBLIC  PARTENAIRE GENERIQUE;Etat;97.0;6803.48;;Peu satisfaisant;1978;Non;Oui;2021-12-31
AQUI/104311/458394;IB00100293298;SITE PENITENTIAIRE GRADIGNAN;Bâtiment C Maintenance;Bâtiment technique;Bâtiment technique;36  R DU BOURDILLAT;Gradignan;33;33170;33192;Nouvelle Aquitaine;France;44.781935;-0.59411;Justice;Services Pénitentiaires;Etat;ETAT DOMAINE PUBLIC  PARTENAIRE GENERIQUE;Etat;374.52;;;;;;Non;2021-12-31
PACA/212156/482288;IB00100323476;LOCAL PARLOIR MAISON D'ARRET NICE;PARLOIR MAISON ARRET NICE;Bureau;Immeuble de bureaux;9  R DE LA GENDARMERIE;Nice;6;06000;06088;Provence-Alpes-Côte-d'Azur;France;43.711341;7.279841;Justice;Services Pénitentiaires;Etat;Office public de l'habitat;OPH;35.0;;;;1975;;Non;2021-12-31
"G""E<L_+212O/?8TN[""6RE-/DXLE,2-153@,KU++EZKIQ+/HDBU&Q@6%S-;3#6.@(5AI(";"C)3;9R`P4-`BM`F'%D-I7&";SITE BASTARD;BASTARD;Espace naturel;Espace naturel;;;64;;;Nouvelle Aquitaine;France;-;-;Agriculture;ONF - OFFICE NATIONAL DES FORETS;EPIC;ETAT DOMAINE PRIVE  PARTENAIRE GENERIQUE;Etat;2975968.0;;;;;;Non;2021-12-31
"KP,:<9(Z.T'2CW7X,5/[.+/BUP(S2WT&T92W_;A+I2KI)/ASW][""?F'4_7/D<:;U-UA*";P]16(D:V2J`EGU^RS8()((;Bien contrôlé par le MASAF;Bien contrôlé par le MASAF;Bâtiment technique;Bâtiment technique;;;73;;;Auvergne - Rhône-Alpes;France;;;Agriculture;ONF - OFFICE NATIONAL DES FORETS;EPIC;ETAT DOMAINE PRIVE  PARTENAIRE GENERIQUE;Etat;42.0;;;Satisfaisant;1910;;Non;2021-12-31
KP,:<9(Z.T'2CW7X,5/[.+/E,V\J,$ZP4\G:-4C='DJQ(/M(DMTUQ4![M/J$G:^\H]_0;B9Q_E/%($*1=BQ(_29(K6$;SITE SAINT HUGON;SAINT HUGON;Espace naturel;Espace naturel;;;38;;;Auvergne - Rhône-Alpes;France;-;-;Agriculture;ONF - OFFICE NATIONAL DES FORETS;EPIC;ETAT DOMAINE PRIVE  PARTENAIRE GENERIQUE;Etat;7904309.0;;;;;;Non;2021-12-31
BRET/105540/361396;IB00100198165;CENTRE PENITENTIAIRE FEMMES DE RENNES;BUREAUX ERIS BAT F (X);Bureau;Immeuble de bureaux;18 B R DE CHATILLON;Rennes;35;35000;35238;Bretagne;France;48.100564;-1.674445;Justice;Services Pénitentiaires;Etat;ETAT DOMAINE PUBLIC  PARTENAIRE GENERIQUE;Etat;251.0;70167.0858;;;1860;;Non;2021-12-31
"OR<C@O-.K<<&#@XJ?)!V40/LR$;CAZ[7#23OCHIZ+@U])/E*M""VRF=+D/0Q?9%UA]KU""";"D&?>/^O0""-5'C5\;0R*T?/";Bien contrôlé par le ministère de la Justice;Bien contrôlé par le ministère de la Justice;Logement;Logement;;;2;;;Hauts de France;France;;;Justice;Services Pénitentiaires;Etat;ETAT DOMAINE PRIVE  PARTENAIRE GENERIQUE;Etat;102.0;45842.88;;Satisfaisant;1991;Oui;Non;2021-12-31
